,Material,Plant|Time: Cal Yr/Month,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,Total Result
Total Inventory Qty,08896,FP13,,"5,100.00 CS","1,547.00 CS",50.00 CS,52.00 CS,52.00 CS,"2,754.00 CS","4,729.00 CS",324.00 CS,4.00 CS,4.00 CS,4.00 CS,"14,620.00 CS"
Total Inventory Qty,08914,FP07,68.00 CS,68.00 CS,67.00 CS,53.00 CS,50.00 CS,49.00 CS,49.00 CS,49.00 CS,49.00 CS,"1,363.00 CS",495.00 CS,49.00 CS,"2,409.00 CS"
Total Inventory Qty,09111,FP03,,,,1.00 CS,1.00 CS,1.00 CS,1.50 CS,1.50 CS,1.50 CS,1.00 CS,1.00 CS,1.00 CS,10.50 CS
Total Inventory Qty,09111,FP07,59.00 CS,176.00 CS,150.00 CS,369.00 CS,454.00 CS,604.00 CS,378.00 CS,522.00 CS,589.00 CS,410.00 CS,138.00 CS,193.00 CS,"4,042.00 CS"
Total Inventory Qty,09111,FP13,"1,540.00 CS",882.00 CS,43.00 CS,"1,243.00 CS","1,403.00 CS","2,613.00 CS","2,297.00 CS","1,555.00 CS",960.00 CS,188.00 CS,,"1,179.00 CS","13,903.00 CS"
Total Inventory Qty,09115,FP07,138.00 CS,138.00 CS,138.00 CS,138.00 CS,138.00 CS,,,,,,,,690.00 CS
Total Inventory Qty,09147,FP07,61.00 CS,61.00 CS,61.00 CS,56.00 CS,56.00 CS,56.00 CS,56.00 CS,"4,447.00 CS","12,409.00 CS","8,680.00 CS",178.00 CS,688.00 CS,"26,809.00 CS"
Total Inventory Qty,09150,FP03,3.00 CS,1.73 CS,0.73 CS,2.04 CS,1.04 CS,0.04 CS,,,,,,,8.58 CS
Total Inventory Qty,09150,FP07,118.00 CS,164.00 CS,161.00 CS,161.00 CS,159.00 CS,121.00 CS,121.00 CS,,,,,,"1,005.00 CS"
Total Inventory Qty,09150,FP13,857.00 CS,863.00 CS,823.00 CS,244.00 CS,21.00 CS,,,,,,,,"2,808.00 CS"
Total Inventory Qty,09190,FP07,234.00 CS,234.00 CS,234.00 CS,234.00 CS,232.00 CS,232.00 CS,,,"18,019.00 CS","13,900.00 CS",12.00 CS,3.00 CS,"33,334.00 CS"
Total Inventory Qty,09191,FP07,181.00 CS,180.00 CS,180.00 CS,179.00 CS,178.00 CS,178.00 CS,173.00 CS,139.00 CS,139.00 CS,"24,205.00 CS",208.00 CS,208.00 CS,"26,148.00 CS"
Total Inventory Qty,09410,FP01,,36.00 CS,,,,,,,,,,,36.00 CS
Total Inventory Qty,09410,FP03,,,,1.00 CS,1.00 CS,0.50 CS,0.50 CS,0.50 CS,0.50 CS,2.00 CS,2.00 CS,2.00 CS,10.00 CS
Total Inventory Qty,09410,FP07,112.00 CS,245.00 CS,225.00 CS,495.00 CS,479.00 CS,229.00 CS,128.00 CS,71.00 CS,70.00 CS,365.00 CS,352.00 CS,61.00 CS,"2,832.00 CS"
Total Inventory Qty,09410,FP13,"9,962.00 CS","10,541.00 CS","8,867.00 CS","8,997.00 CS",529.00 CS,397.00 CS,"2,227.00 CS","3,805.00 CS","13,094.00 CS","7,249.00 CS","2,687.00 CS","9,776.00 CS","78,131.00 CS"
Total Inventory Qty,09410,FP14,"1,400.00 CS",10.00 CS,"1,080.00 CS",,"2,202.00 CS","1,440.00 CS",,,160.00 CS,"1,650.00 CS","1,722.00 CS",571.00 CS,"10,235.00 CS"
Total Inventory Qty,09411,FP03,0.83 CS,0.83 CS,0.83 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,11.50 CS
Total Inventory Qty,09411,FP05,,,,,,,,,,40.00 CS,,,40.00 CS
Total Inventory Qty,09411,FP07,,,280.00 CS,65.00 CS,66.00 CS,6.00 CS,6.00 CS,6.00 CS,68.00 CS,41.00 CS,32.00 CS,31.00 CS,601.00 CS
Total Inventory Qty,09411,FP13,,"3,491.00 CS","5,980.00 CS","2,964.00 CS","2,642.00 CS","1,435.00 CS","1,435.00 CS",256.00 CS,320.00 CS,"1,506.00 CS",494.00 CS,59.00 CS,"20,582.00 CS"
Total Inventory Qty,09411,FP14,,,34.00 CS,,,,,640.00 CS,,,,,674.00 CS
Total Inventory Qty,09427,FP05,320.00 CS,,,,,,,,,,,,320.00 CS
Total Inventory Qty,09427,FP07,"3,160.00 CS","5,760.00 CS","5,880.00 CS","5,400.00 CS","4,720.00 CS","3,600.00 CS",640.00 CS,"3,800.00 CS",40.00 CS,600.00 CS,40.00 CS,"1,720.00 CS","35,360.00 CS"
Total Inventory Qty,09427,FP13,"2,320.00 CS","7,120.00 CS","3,880.00 CS","1,720.00 CS","6,480.00 CS","4,840.00 CS","3,830.00 CS","2,040.00 CS",160.00 CS,"1,560.00 CS",720.00 CS,"2,960.00 CS","37,630.00 CS"
Total Inventory Qty,09441,FP03,0.67 CS,0.67 CS,0.67 CS,0.67 CS,0.67 CS,0.17 CS,0.80 CS,0.80 CS,1.80 CS,,,,6.91 CS
Total Inventory Qty,09441,FP05,,,311.00 CS,60.00 CS,60.00 CS,,,,,,,,431.00 CS
Total Inventory Qty,09441,FP07,203.00 CS,499.00 CS,150.00 CS,201.00 CS,626.00 CS,946.00 CS,942.00 CS,471.00 CS,469.00 CS,422.00 CS,424.00 CS,189.00 CS,"5,542.00 CS"
Total Inventory Qty,09441,FP13,"5,424.00 CS",,"12,713.00 CS","5,503.00 CS","8,443.00 CS","18,067.00 CS","9,144.00 CS","17,149.00 CS","9,386.00 CS","9,823.00 CS","7,873.00 CS","3,344.00 CS","1,06,869.00 CS"
Total Inventory Qty,09441,FP14,,650.00 CS,"1,516.00 CS","1,100.00 CS",,"2,263.00 CS",,,150.00 CS,"1,200.00 CS",714.00 CS,121.00 CS,"7,714.00 CS"
Total Inventory Qty,09443,FP07,10.00 CS,10.00 CS,10.00 CS,10.00 CS,10.00 CS,10.00 CS,10.00 CS,,,,,,70.00 CS
Total Inventory Qty,09445,FP13,"1,647.00 CS","1,771.00 CS","2,536.00 CS",587.00 CS,587.00 CS,587.00 CS,537.00 CS,537.00 CS,537.00 CS,,,,"9,326.00 CS"
Total Inventory Qty,09445,FP14,,37.00 CS,,186.00 CS,186.00 CS,186.00 CS,186.00 CS,186.00 CS,,,,,967.00 CS
Total Inventory Qty,09521,FP03,0.83 CS,1.83 CS,1.83 CS,0.83 CS,0.83 CS,0.83 CS,0.67 CS,0.50 CS,1.50 CS,,,,9.67 CS
Total Inventory Qty,09521,FP07,105.00 CS,67.00 CS,179.00 CS,134.00 CS,133.00 CS,133.00 CS,51.00 CS,150.00 CS,179.00 CS,126.00 CS,95.00 CS,100.00 CS,"1,452.00 CS"
Total Inventory Qty,09521,FP13,"1,307.00 CS","5,576.00 CS","1,556.00 CS",480.00 CS,525.00 CS,593.00 CS,"2,774.00 CS","2,207.00 CS","1,766.00 CS",737.00 CS,"4,825.00 CS","9,370.00 CS","31,716.00 CS"
Total Inventory Qty,09521,FP14,,,140.00 CS,166.00 CS,200.00 CS,,,,,,,,506.00 CS
Total Inventory Qty,09817,FP13,32.00 CS,32.00 CS,32.00 CS,32.00 CS,,,,,,,,,128.00 CS
Total Inventory Qty,09841,FP13,819.00 CS,778.00 CS,778.00 CS,778.00 CS,,,,,,,,,"3,153.00 CS"
Total Inventory Qty,09842,FP13,27.00 CS,27.00 CS,27.00 CS,,,,,,,,,,81.00 CS
Total Inventory Qty,09942,FP01,,,,,650.00 CS,,,,,,,,650.00 CS
Total Inventory Qty,09942,FP03,,,,,0.83 CS,0.83 CS,1.50 CS,1.50 CS,1.50 CS,1.00 CS,1.00 CS,1.00 CS,9.17 CS
Total Inventory Qty,09942,FP07,323.00 CS,154.00 CS,2.00 CS,2.00 CS,199.00 CS,199.00 CS,199.00 CS,194.00 CS,194.00 CS,194.00 CS,194.00 CS,194.00 CS,"2,048.00 CS"
Total Inventory Qty,09942,FP13,"8,145.00 CS","16,181.00 CS",717.00 CS,"3,381.00 CS","4,443.00 CS","3,365.00 CS","2,123.00 CS","1,129.00 CS",230.00 CS,"3,593.00 CS",70.00 CS,70.00 CS,"43,447.00 CS"
Total Inventory Qty,09942,FP14,"1,600.00 CS","1,391.00 CS",,,,,,,,,,,"2,991.00 CS"
Total Inventory Qty,09946,FP07,,,,,,,"8,167.00 CS",206.00 CS,206.00 CS,206.00 CS,206.00 CS,206.00 CS,"9,197.00 CS"
Total Inventory Qty,10012,FP03,,7.00 CS,6.00 CS,5.33 CS,5.33 CS,5.92 CS,5.42 CS,5.42 CS,5.42 CS,3.00 CS,3.00 CS,2.92 CS,54.75 CS
Total Inventory Qty,10012,FP07,636.00 CS,211.00 CS,672.00 CS,883.00 CS,"1,062.00 CS",849.00 CS,688.00 CS,485.00 CS,322.00 CS,"6,497.00 CS","4,562.00 CS","6,273.00 CS","23,140.00 CS"
Total Inventory Qty,10012,FP13,"1,076.00 CS",800.00 CS,"4,058.00 CS","3,079.00 CS","2,238.00 CS","1,705.00 CS","1,212.00 CS",999.00 CS,330.00 CS,125.00 CS,305.00 CS,567.00 CS,"16,494.00 CS"
Total Inventory Qty,10013,FP03,6.50 CS,6.50 CS,6.50 CS,2.00 CS,2.00 CS,2.00 CS,2.00 CS,2.00 CS,2.00 CS,4.00 CS,4.00 CS,4.00 CS,43.50 CS
Total Inventory Qty,10013,FP13,43.00 CS,43.00 CS,41.00 CS,4.00 CS,4.00 CS,4.00 CS,4.00 CS,,,,,,143.00 CS
Total Inventory Qty,10016,FP03,1.25 CS,1.25 CS,1.25 CS,1.00 CS,1.00 CS,1.00 CS,1.58 CS,0.58 CS,0.58 CS,0.58 CS,1.58 CS,1.50 CS,13.17 CS
Total Inventory Qty,10016,FP07,"3,233.00 CS","5,046.00 CS","9,376.00 CS","13,861.00 CS","6,987.00 CS","7,633.00 CS","10,844.00 CS","15,401.00 CS","14,675.00 CS","3,485.00 CS","5,386.00 CS","15,848.00 CS","1,11,775.00 CS"
Total Inventory Qty,10016,FP13,"15,004.00 CS","20,470.00 CS","4,454.00 CS","20,670.00 CS","10,493.00 CS","1,124.00 CS","2,209.00 CS","9,492.00 CS","13,373.00 CS","8,116.00 CS","16,008.00 CS","36,095.00 CS","1,57,508.00 CS"
Total Inventory Qty,10019,FP03,0.67 CS,0.67 CS,0.67 CS,,,,,,,,,,2.00 CS
Total Inventory Qty,10021,FP03,2.83 CS,,,,,,,,,,,,2.83 CS
Total Inventory Qty,10021,FP13,2.00 CS,,,,,,,,,,,,2.00 CS
Total Inventory Qty,10023,FP03,0.17 CS,0.17 CS,0.17 CS,,,,,,,,,2.00 CS,2.50 CS
Total Inventory Qty,10023,FP07,147.00 CS,,622.00 CS,500.00 CS,634.00 CS,366.00 CS,615.00 CS,151.00 CS,113.00 CS,750.00 CS,595.00 CS,202.00 CS,"4,695.00 CS"
Total Inventory Qty,10023,FP13,"1,439.00 CS","1,066.00 CS","2,192.00 CS","1,403.00 CS",628.00 CS,334.00 CS,429.00 CS,138.00 CS,,"1,329.00 CS",943.00 CS,529.00 CS,"10,430.00 CS"
Total Inventory Qty,10024,FP03,0.83 CS,0.83 CS,0.83 CS,,,,,,,,,,2.50 CS
Total Inventory Qty,10025,FP03,0.92 CS,2.08 CS,0.75 CS,1.83 CS,0.42 CS,1.17 CS,1.75 CS,1.92 CS,4.58 CS,3.83 CS,3.83 CS,2.75 CS,25.83 CS
Total Inventory Qty,10025,FP07,"14,598.00 CS","18,450.00 CS","23,416.00 CS","16,013.00 CS","12,645.00 CS","3,823.00 CS","4,193.00 CS","5,664.00 CS","5,736.00 CS","5,213.00 CS","9,561.00 CS","7,953.00 CS","1,27,265.00 CS"
Total Inventory Qty,10025,FP13,"21,177.00 CS","27,171.00 CS","51,958.00 CS","37,481.00 CS","33,423.00 CS","26,340.00 CS","20,830.00 CS","53,127.00 CS","45,650.00 CS","27,923.00 CS","54,039.00 CS","22,394.00 CS","4,21,513.00 CS"
Total Inventory Qty,10028,FP07,232.00 CS,232.00 CS,232.00 CS,232.00 CS,232.00 CS,232.00 CS,232.00 CS,,,,,,"1,624.00 CS"
Total Inventory Qty,10032,FP03,0.50 CS,0.50 CS,0.50 CS,,,,,,,,,,1.50 CS
Total Inventory Qty,10032,FP07,"14,732.00 CS","12,397.00 CS","9,455.00 CS","6,762.00 CS","4,519.00 CS","3,861.00 CS","7,306.00 CS","5,628.00 CS","4,634.00 CS","2,877.00 CS","1,010.00 CS",330.00 CS,"73,511.00 CS"
Total Inventory Qty,10032,FP13,"10,341.00 CS","9,121.00 CS","8,064.00 CS","7,551.00 CS","6,399.00 CS","5,186.00 CS","7,706.00 CS","8,850.00 CS","7,882.00 CS","7,050.00 CS","6,709.00 CS","6,061.00 CS","90,920.00 CS"
Total Inventory Qty,10035,FP07,1.00 CS,1.00 CS,1.00 CS,,,,,,,,,,3.00 CS
Total Inventory Qty,10036,FP03,2.00 CS,2.00 CS,2.00 CS,,,,,,,,,,6.00 CS
Total Inventory Qty,10037,FP03,2.00 CS,2.00 CS,2.00 CS,0.63 CS,0.63 CS,0.63 CS,,,,,,,7.88 CS
Total Inventory Qty,10040,FP03,1.17 CS,1.17 CS,1.17 CS,1.00 CS,1.00 CS,1.00 CS,,,,,,,6.50 CS
Total Inventory Qty,10040,FP07,"12,938.00 CS","11,131.00 CS","9,330.00 CS","13,705.00 CS","18,707.00 CS","18,517.00 CS","21,442.00 CS","7,152.00 CS","6,463.00 CS","7,463.00 CS","12,763.00 CS","24,727.00 CS","1,64,338.00 CS"
Total Inventory Qty,10040,FP13,"14,197.00 CS","7,138.00 CS","33,730.00 CS","27,183.00 CS","17,038.00 CS","22,591.00 CS","5,781.00 CS","15,488.00 CS","21,938.00 CS","13,088.00 CS","16,763.00 CS","8,578.00 CS","2,03,513.00 CS"
Total Inventory Qty,10040,FP14,,,200.00 CS,,,,,,,,,,200.00 CS
Total Inventory Qty,10042,FM01,,,,,17.00 CS,,,378.00 CS,,,,,395.00 CS
Total Inventory Qty,10042,FP03,0.17 CS,0.17 CS,0.42 CS,0.75 CS,0.67 CS,0.67 CS,1.92 CS,5.42 CS,5.42 CS,,,,15.58 CS
Total Inventory Qty,10042,FP07,"8,352.00 CS","6,747.00 CS","5,224.00 CS","4,427.00 CS","3,027.00 CS","6,450.00 CS","8,493.00 CS","7,450.00 CS","8,953.00 CS","7,830.00 CS","5,512.00 CS","7,334.00 CS","79,799.00 CS"
Total Inventory Qty,10042,FP13,496.00 CS,830.00 CS,870.00 CS,451.00 CS,"1,668.00 CS","1,188.00 CS",844.00 CS,"1,305.00 CS","1,011.00 CS",253.00 CS,977.00 CS,768.00 CS,"10,661.00 CS"
Total Inventory Qty,10050,FP07,"8,709.00 CS","20,389.00 CS","7,850.00 CS","18,048.00 CS","7,749.00 CS","2,528.00 CS","2,509.00 CS","1,664.00 CS","1,664.00 CS","1,040.00 CS","1,040.00 CS","1,040.00 CS","74,230.00 CS"
Total Inventory Qty,10050,FP13,"11,904.00 CS","21,882.00 CS","12,694.00 CS","1,901.00 CS","3,178.00 CS",,,,,,,"1,400.00 CS","52,959.00 CS"
Total Inventory Qty,10050,FP14,600.00 CS,,,,,,,,,,,,600.00 CS
Total Inventory Qty,10058,FP07,241.00 CS,288.00 CS,220.00 CS,211.00 CS,203.00 CS,193.00 CS,178.00 CS,175.00 CS,168.00 CS,138.00 CS,135.00 CS,130.00 CS,"2,280.00 CS"
Total Inventory Qty,10058,FP13,98.00 CS,46.00 CS,99.00 CS,94.00 CS,72.00 CS,66.00 CS,35.00 CS,28.00 CS,20.00 CS,19.00 CS,"1,136.00 CS",71.00 CS,"1,784.00 CS"
Total Inventory Qty,10082,FP03,1.17 CS,1.17 CS,1.17 CS,0.50 CS,11.00 CS,9.67 CS,9.00 CS,8.33 CS,8.33 CS,14.00 CS,14.00 CS,13.92 CS,92.25 CS
Total Inventory Qty,10082,FP07,"3,538.00 CS","6,470.00 CS","5,556.00 CS","7,567.00 CS","5,490.00 CS","4,229.00 CS","4,647.00 CS","3,555.00 CS","3,079.00 CS","5,490.00 CS","18,573.00 CS","19,330.00 CS","87,524.00 CS"
Total Inventory Qty,10082,FP13,"3,075.00 CS","3,849.00 CS","15,356.00 CS","1,150.00 CS","1,689.00 CS","8,140.00 CS","2,692.00 CS","3,583.00 CS","7,713.00 CS","1,375.00 CS","18,142.00 CS","19,344.00 CS","86,108.00 CS"
Total Inventory Qty,10087,FP07,22.00 CS,22.00 CS,22.00 CS,22.00 CS,22.00 CS,22.00 CS,22.00 CS,,,,,,154.00 CS
Total Inventory Qty,10095,FP01,,,,574.00 CS,,,,,,,,,574.00 CS
Total Inventory Qty,10095,FP03,1.17 CS,1.17 CS,1.17 CS,,,,1.00 CS,0.67 CS,0.67 CS,0.08 CS,1.08 CS,3.00 CS,10.00 CS
Total Inventory Qty,10095,FP07,969.00 CS,753.00 CS,853.00 CS,"1,420.00 CS","1,722.00 CS",505.00 CS,"2,168.00 CS","1,302.00 CS","2,116.00 CS","1,396.00 CS","1,813.00 CS","2,476.00 CS","17,493.00 CS"
Total Inventory Qty,10095,FP13,"7,157.00 CS","3,853.00 CS",555.00 CS,"5,048.00 CS","1,730.00 CS","7,856.00 CS","3,382.00 CS",422.00 CS,"4,450.00 CS","2,736.00 CS","4,713.00 CS","2,200.67 CS","44,102.67 CS"
Total Inventory Qty,10102,FP03,0.33 CS,0.33 CS,2.25 CS,2.25 CS,2.25 CS,2.25 CS,2.75 CS,2.75 CS,2.75 CS,1.83 CS,1.83 CS,1.83 CS,23.42 CS
Total Inventory Qty,10102,FP07,"3,624.00 CS","1,064.00 CS",297.00 CS,"4,739.00 CS","4,884.00 CS","4,951.00 CS","3,859.00 CS","1,735.00 CS","4,463.00 CS","2,579.00 CS",527.00 CS,153.00 CS,"32,875.00 CS"
Total Inventory Qty,10102,FP13,"10,331.00 CS","6,505.00 CS","9,990.00 CS","17,515.00 CS","12,015.00 CS","6,505.00 CS","2,611.00 CS","12,434.00 CS","5,944.00 CS","4,273.00 CS","2,833.00 CS","1,179.00 CS","92,135.00 CS"
Total Inventory Qty,10105,FP03,3.42 CS,3.42 CS,3.42 CS,3.00 CS,3.00 CS,3.00 CS,2.83 CS,2.83 CS,2.83 CS,2.75 CS,2.75 CS,2.75 CS,36.00 CS
Total Inventory Qty,10105,FP07,"2,192.00 CS",811.00 CS,823.00 CS,"1,444.00 CS","1,904.00 CS","2,586.00 CS","1,469.00 CS",776.00 CS,118.00 CS,340.00 CS,,,"12,463.00 CS"
Total Inventory Qty,10105,FP13,"5,581.00 CS","4,223.00 CS","7,219.00 CS","4,380.00 CS","2,078.00 CS","5,070.00 CS","3,570.00 CS","1,354.00 CS",88.00 CS,6.00 CS,,,"33,569.00 CS"
Total Inventory Qty,10106,FP03,3.00 CS,3.00 CS,3.00 CS,3.00 CS,3.00 CS,3.00 CS,2.83 CS,2.83 CS,2.83 CS,3.00 CS,3.00 CS,3.00 CS,35.50 CS
Total Inventory Qty,10106,FP07,"8,701.00 CS","23,637.00 CS","17,766.00 CS","14,922.00 CS","13,714.00 CS","6,921.00 CS","5,785.00 CS","3,850.00 CS","1,489.00 CS","3,585.00 CS","5,625.00 CS","12,036.00 CS","1,18,031.00 CS"
Total Inventory Qty,10106,FP13,"1,160.00 CS","1,351.00 CS","2,628.00 CS","2,086.00 CS",977.00 CS,"4,932.00 CS","3,713.00 CS","1,530.00 CS","2,165.00 CS","2,129.00 CS","2,848.00 CS","3,379.00 CS","28,898.00 CS"
Total Inventory Qty,10108,FP03,1.17 CS,1.17 CS,1.17 CS,,,,,,,,,,3.50 CS
Total Inventory Qty,10108,FP07,"2,093.00 CS","2,154.00 CS","2,569.00 CS","3,266.00 CS","3,138.00 CS","2,517.00 CS","2,323.00 CS","2,376.00 CS","2,121.00 CS","2,012.00 CS","1,952.00 CS","1,359.00 CS","27,880.00 CS"
Total Inventory Qty,10108,FP13,"1,234.00 CS","2,095.00 CS","2,061.00 CS","4,265.00 CS","5,423.00 CS","3,579.00 CS","4,846.00 CS","5,454.00 CS","3,561.00 CS","5,405.00 CS","3,236.00 CS","5,965.00 CS","47,124.00 CS"
Total Inventory Qty,10109,FP03,1.50 CS,1.50 CS,1.50 CS,,,,,,,,,,4.50 CS
Total Inventory Qty,10109,FP07,173.00 CS,"1,026.00 CS",640.00 CS,"1,600.00 CS","2,339.00 CS",802.00 CS,942.00 CS,974.00 CS,754.00 CS,176.00 CS,,,"9,426.00 CS"
Total Inventory Qty,10109,FP13,"2,292.00 CS","1,971.00 CS","2,603.00 CS","4,643.00 CS","1,464.00 CS",593.00 CS,"4,758.00 CS","2,702.00 CS","2,145.00 CS","1,423.00 CS",487.00 CS,3.00 CS,"25,084.00 CS"
Total Inventory Qty,10110,FP07,14.00 CS,14.00 CS,14.00 CS,14.00 CS,14.00 CS,14.00 CS,14.00 CS,,,,,,98.00 CS
Total Inventory Qty,10110,FP13,123.00 CS,122.00 CS,120.00 CS,117.00 CS,117.00 CS,,,,,,,,599.00 CS
Total Inventory Qty,10112,FP01,,,,,"1,050.00 CS",,,"3,850.00 CS",,,,,"4,900.00 CS"
Total Inventory Qty,10112,FP03,87.00 CS,88.58 CS,38.58 CS,40.00 CS,39.67 CS,39.58 CS,2.33 CS,3.83 CS,3.50 CS,3.25 CS,3.25 CS,3.08 CS,352.67 CS
Total Inventory Qty,10112,FP07,"22,069.00 CS","16,616.00 CS","11,011.00 CS","5,595.00 CS",925.00 CS,"8,451.00 CS","6,414.00 CS","9,688.00 CS","6,400.00 CS","3,779.00 CS","8,396.00 CS","8,821.00 CS","1,08,165.00 CS"
Total Inventory Qty,10112,FP13,"32,716.00 CS","23,049.00 CS","11,787.00 CS","14,283.00 CS","30,141.00 CS","22,717.00 CS","31,453.00 CS","40,863.00 CS","61,519.00 CS","39,949.00 CS","29,162.00 CS","55,214.00 CS","3,92,853.00 CS"
Total Inventory Qty,10113,FP07,984.00 CS,964.00 CS,526.00 CS,504.00 CS,504.00 CS,384.00 CS,344.00 CS,,,,,,"4,210.00 CS"
Total Inventory Qty,10113,FP13,"13,263.00 CS","13,260.00 CS","13,250.00 CS","13,049.00 CS","13,054.00 CS","13,025.00 CS","12,602.00 CS",90.00 CS,,,,,"91,593.00 CS"
Total Inventory Qty,10116,FP07,144.00 CS,144.00 CS,144.00 CS,144.00 CS,144.00 CS,144.00 CS,144.00 CS,,,,,,"1,008.00 CS"
Total Inventory Qty,10117,FP03,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,0.92 CS,0.92 CS,0.92 CS,11.75 CS
Total Inventory Qty,10117,FP07,"3,080.00 CS","8,647.00 CS","7,472.00 CS","5,592.00 CS","5,170.00 CS","1,896.00 CS","1,132.00 CS","2,576.00 CS","1,692.00 CS",821.00 CS,,,"38,078.00 CS"
Total Inventory Qty,10117,FP13,"3,216.00 CS","2,463.00 CS","2,019.00 CS","1,109.00 CS",494.00 CS,"2,110.00 CS","1,272.00 CS","1,229.00 CS",566.00 CS,80.00 CS,,,"14,558.00 CS"
Total Inventory Qty,10119,FP07,42.00 CS,42.00 CS,42.00 CS,42.00 CS,42.00 CS,42.00 CS,42.00 CS,,,,,,294.00 CS
Total Inventory Qty,10120,FP07,622.00 CS,859.00 CS,717.00 CS,509.00 CS,"1,598.00 CS",822.00 CS,702.00 CS,966.00 CS,499.00 CS,679.00 CS,917.00 CS,"1,258.00 CS","10,148.00 CS"
Total Inventory Qty,10120,FP13,703.00 CS,260.00 CS,"1,576.00 CS",328.00 CS,"2,234.00 CS","1,489.00 CS",104.00 CS,644.00 CS,180.00 CS,408.00 CS,"1,081.00 CS","1,549.00 CS","10,556.00 CS"
Total Inventory Qty,10120,FP14,,,,,28.00 CS,28.00 CS,28.00 CS,,,,,,84.00 CS
Total Inventory Qty,10123,FP03,2.92 CS,2.92 CS,2.92 CS,1.92 CS,1.92 CS,1.92 CS,1.92 CS,1.92 CS,1.92 CS,2.67 CS,2.67 CS,2.67 CS,28.25 CS
Total Inventory Qty,10123,FP07,"5,938.00 CS","3,447.00 CS",238.00 CS,"5,476.00 CS","3,814.00 CS","9,773.00 CS","7,347.00 CS","5,745.00 CS","5,908.00 CS","2,111.00 CS",208.00 CS,3.00 CS,"50,008.00 CS"
Total Inventory Qty,10123,FP13,"15,518.00 CS","6,509.00 CS","29,360.00 CS","10,645.00 CS","7,547.00 CS","23,634.00 CS","25,822.00 CS","17,194.00 CS","10,599.00 CS","7,027.00 CS","3,100.00 CS",167.00 CS,"1,57,122.00 CS"
Total Inventory Qty,10123,FP14,,,200.00 CS,,,,,,,,,,200.00 CS
Total Inventory Qty,10124,FP07,642.00 CS,660.00 CS,894.00 CS,614.00 CS,964.00 CS,812.00 CS,688.00 CS,829.00 CS,649.00 CS,262.00 CS,316.00 CS,142.00 CS,"7,472.00 CS"
Total Inventory Qty,10124,FP13,470.00 CS,"2,019.00 CS","1,950.00 CS","6,374.00 CS","4,010.00 CS","5,685.00 CS","4,663.00 CS","2,728.00 CS","1,590.00 CS","1,068.00 CS",522.00 CS,416.00 CS,"31,495.00 CS"
Total Inventory Qty,10125,FP03,0.75 CS,0.75 CS,0.75 CS,0.75 CS,0.75 CS,0.75 CS,0.50 CS,0.50 CS,0.50 CS,0.42 CS,0.42 CS,0.42 CS,7.25 CS
Total Inventory Qty,10125,FP05,,,,200.00 CS,200.00 CS,,,,,,,,400.00 CS
Total Inventory Qty,10125,FP07,"20,039.00 CS","11,711.00 CS","8,667.00 CS","9,098.00 CS","8,398.00 CS","16,175.00 CS","13,019.00 CS","14,544.00 CS","7,608.00 CS","2,271.00 CS",,1.00 CS,"1,11,531.00 CS"
Total Inventory Qty,10125,FP13,"20,085.00 CS","12,237.00 CS","9,571.00 CS","8,093.00 CS","10,830.00 CS","18,837.00 CS","22,150.00 CS","16,435.00 CS","12,277.00 CS","7,454.00 CS","4,064.00 CS",,"1,42,033.00 CS"
Total Inventory Qty,10126,FP03,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,,,,,,,6.00 CS
Total Inventory Qty,10126,FP07,"10,073.00 CS","9,422.00 CS","4,789.00 CS","3,972.00 CS","3,649.00 CS","3,236.00 CS","2,634.00 CS","2,025.00 CS","1,563.00 CS","1,523.00 CS","1,143.00 CS",709.00 CS,"44,738.00 CS"
Total Inventory Qty,10126,FP13,"1,369.00 CS",654.00 CS,"3,155.00 CS","2,328.00 CS","1,499.00 CS",420.00 CS,"4,738.00 CS","3,874.00 CS","3,224.00 CS","2,741.00 CS","2,590.00 CS","2,497.00 CS","29,089.00 CS"
Total Inventory Qty,10127,FP03,1.58 CS,1.58 CS,1.58 CS,2.58 CS,2.58 CS,2.58 CS,2.75 CS,2.75 CS,2.75 CS,2.25 CS,2.25 CS,2.25 CS,27.50 CS
Total Inventory Qty,10127,FP07,"23,288.00 CS","17,933.00 CS","21,543.00 CS","18,733.00 CS","20,966.00 CS","18,142.00 CS","14,003.00 CS","9,111.00 CS","3,944.00 CS","2,154.00 CS",2.00 CS,2.00 CS,"1,49,821.00 CS"
Total Inventory Qty,10127,FP13,"22,453.00 CS","17,160.00 CS","20,029.00 CS","18,315.00 CS","20,650.00 CS","20,924.00 CS","18,566.00 CS","13,271.00 CS","9,142.00 CS","4,820.00 CS","1,842.00 CS",9.00 CS,"1,67,181.00 CS"
Total Inventory Qty,10128,FP03,0.83 CS,0.83 CS,0.83 CS,0.83 CS,0.83 CS,0.83 CS,,,,,,,5.00 CS
